PMM_CURVE_DATA
          P,         MX,         MY,
  46155.732,   3038.137,   5262.207,
  46345.171,   2661.027,   4609.034,
  47819.356,   2389.639,   4138.976,
  49183.318,   2131.200,   3691.346,
  50456.258,   1885.670,   3266.077,
  51639.004,   1652.159,   2861.623,
  52737.474,   1430.066,   2476.948,
  53762.776,   1218.941,   2111.267,
  54719.639,   1018.150,   1763.488,
  55615.008,    827.144,   1432.656,
  56453.563,    645.352,   1117.782,
  57234.357,    472.191,    817.858,
  57966.894,    307.229,    532.137,
  58644.158,    149.956,    259.732,
  59051.404,      0.000,      0.000,
  59051.404,      0.000,      0.000,
  58477.841,   -149.534,   -259.001,
  57795.855,   -306.329,   -530.577,
  57061.896,   -470.777,   -815.410,
  56282.126,   -643.405,  -1114.410,
  55443.064,   -824.603,  -1428.255,
  54547.044,  -1014.959,  -1757.961,
  53590.818,  -1215.066,  -2104.556,
  52566.161,  -1425.449,  -2468.951,
  51468.853,  -1646.748,  -2852.251,
  50286.126,  -1879.350,  -3255.129,
  49013.416,  -2123.880,  -3678.668,
  47648.006,  -2381.124,  -4124.227,
  46172.682,  -2651.176,  -4591.971,
  46016.790,  -3029.052,  -5246.471,
  44516.785,  -3356.148,  -5813.018,
  42891.047,  -3704.647,  -6416.638,
  41133.897,  -4076.926,  -7061.442,
  39201.138,  -4471.645,  -7745.117,
  37092.290,  -4891.499,  -8472.325,
  34758.222,  -5332.833,  -9236.737,
  32198.063,  -5797.278, -10041.180,
  29352.876,  -6274.890, -10868.428,
  26210.572,  -6759.040, -11707.000,
  22746.840,  -7233.752, -12529.227,
  18972.480,  -7681.493, -13304.736,
  14910.855,  -8072.385, -13981.782,
  10645.298,  -8378.680, -14512.299,
   6302.975,  -8574.452, -14851.386,
   2043.825,  -8639.043, -14963.261,
  -1975.558,  -8638.436, -14962.210,
  -5709.943,  -8599.957, -14895.562,
  -9093.478,  -8482.698, -14692.464,
 -12099.655,  -8314.056, -14400.367,
 -14747.021,  -8120.163, -14064.534,
 -17063.075,  -7913.282, -13706.207,
 -19095.512,  -7707.517, -13349.811,
 -20886.468,  -7509.301, -13006.490,
 -22449.995,  -7314.337, -12668.803,
 -23838.139,  -7131.935, -12352.874,
 -25077.490,  -6962.237, -12058.947,
 -26183.463,  -6803.104, -11783.322,
 -27177.499,  -6654.919, -11526.658,
 -28070.552,  -6515.979, -11286.006,
 -28888.250,  -6388.515, -11065.233,
 -29630.443,  -6269.212, -10858.594,
 -30303.199,  -6156.819, -10663.923,
 -30924.188,  -6052.742, -10483.656,
 -31499.702,  -5956.210, -10316.458,
 -32031.444,  -5865.864, -10159.975,
